step,kind,objective,main_gold,main_neg,neg_gold,neg_neg,rank,main_ok,neg_ok,lr,elapsed_min,cumulative_elapsed_min,group_qas,group_main_rate,group_neg_rate
1283,group,6.9375,6.9375,0.0,0.0,0.0,0.0,True,False,4.972016989526352e-05,1.0847,1.0847,4,1.0,0.0
1284,example,13.9375,1.9375,0.0,0.0,0.0,0.0,True,False,4.971973434700118e-05,1.1022,1.1022,,,
1285,example,1.171875,0.195312,0.0,0.0,0.0,0.0,True,False,4.9719298461992516e-05,1.1113,1.1113,,,
1286,example,7.5,1.085938,0.0,0.0,0.0,0.0,True,False,4.971886224024358e-05,1.1206,1.1206,,,
1287,group,0.660156,0.660156,0.0,0.0,0.0,0.0,True,False,4.971842568176043e-05,1.2271,1.2271,4,1.0,0.0
1288,example,5.34375,0.458984,0.0,0.0,0.0,0.0,True,False,4.971798878654915e-05,1.2443,1.2443,,,
1289,example,5.03125,0.494141,0.0,0.0,0.0,0.0,True,False,4.9717551554615814e-05,1.2536,1.2536,,,
1290,example,7.75,1.640625,0.0,0.0,0.0,0.0,True,False,4.9717113985966504e-05,1.2628,1.2628,,,
1291,example,0.458984,1.835938,0.0,0.0,0.0,0.0,True,False,4.971667608060729e-05,1.2727,1.2727,,,
1292,example,3.59375,0.648438,0.0,0.0,0.0,0.0,True,False,4.9716237838544266e-05,1.2808,1.2808,,,
1293,example,2.859375,1.4375,0.0,0.0,0.0,0.0,True,False,4.971579925978353e-05,1.2907,1.2907,,,
1294,example,1.1875,0.734375,0.0,0.0,0.0,0.0,True,False,4.971536034433118e-05,1.2992,1.2992,,,
1295,group,1.585938,1.585938,0.0,0.0,0.0,0.0,True,False,4.9714921092193314e-05,1.3968,1.3968,4,1.0,0.0
1296,example,0.120605,0.482422,0.0,0.0,0.0,0.0,True,False,4.9714481503376035e-05,1.4177,1.4177,,,
1297,example,2.0,0.455078,0.0,0.0,0.0,0.0,True,False,4.971404157788547e-05,1.4265,1.4265,,,
1298,example,1.71875,0.859375,0.0,0.0,0.0,0.0,True,False,4.971360131572772e-05,1.4356,1.4356,,,
1299,example,0.988281,0.104004,0.0,0.0,0.0,0.0,True,False,4.971316071690891e-05,1.4444,1.4444,,,
1300,group,8.9375,8.9375,0.0,0.0,0.0,0.0,True,False,4.9712719781435166e-05,1.5613,1.5613,4,1.0,0.0
1301,example,5.78125,0.449219,0.0,0.0,0.0,0.0,True,False,4.971227850931263e-05,1.5789,1.5789,,,
1302,example,0.416016,1.664062,0.0,0.0,0.0,0.0,True,False,4.971183690054744e-05,1.5873,1.5873,,,
1303,example,4.6875,0.839844,0.0,0.0,0.0,0.0,True,False,4.971139495514571e-05,1.5967,1.5967,,,
1304,group,2.375,2.375,0.0,0.0,0.0,0.0,True,False,4.9710952673113604e-05,1.7097,1.7097,4,1.0,0.0
1305,example,4.875,0.949219,0.0,0.0,0.0,0.0,True,False,4.971051005445727e-05,1.7278,1.7278,,,
1306,example,11.5,1.695312,0.0,0.0,0.0,0.0,True,False,4.9710067099182855e-05,1.7384,1.7384,,,
1307,example,15.6875,1.453125,0.0,0.0,0.0,0.0,True,False,4.970962380729652e-05,1.7485,1.7485,,,
1308,group,2.328125,2.328125,0.0,0.0,0.0,0.0,True,False,4.970918017880444e-05,1.8175,1.8175,4,1.0,0.0
1309,example,7.25,0.652344,0.0,0.0,0.0,0.0,True,False,4.970873621371277e-05,1.8357,1.8357,,,
1310,example,2.796875,0.53125,0.0,0.0,0.0,0.0,True,False,4.9708291912027684e-05,1.8446,1.8446,,,
1311,example,21.875,1.234375,0.0,0.0,0.0,0.0,True,False,4.9707847273755364e-05,1.8537,1.8537,,,
1312,example,25.0,1.554688,0.0,0.0,0.0,0.0,True,False,4.970740229890199e-05,1.8628,1.8628,,,
1313,example,0.341797,1.367188,0.0,0.0,0.0,0.0,True,False,4.9706956987473744e-05,1.8717,1.8717,,,
1314,example,5.09375,0.523438,0.0,0.0,0.0,0.0,True,False,4.970651133947683e-05,1.8806,1.8806,,,
1315,example,9.1875,0.519531,0.0,0.0,0.0,0.0,True,False,4.9706065354917436e-05,1.8897,1.8897,,,
1316,example,0.421875,0.421875,0.0,0.0,0.0,0.0,True,False,4.970561903380176e-05,1.8986,1.8986,,,
1317,example,0.375,1.5,0.0,0.0,0.0,0.0,True,False,4.9705172376136e-05,1.9073,1.9073,,,
1318,group,2.96875,2.96875,0.0,0.0,0.0,0.0,True,False,4.97047253819264e-05,1.9701,1.9701,4,1.0,0.0
1319,example,0.198242,0.076172,0.0,0.0,0.0,0.0,True,False,4.970427805117914e-05,1.9882,1.9882,,,
1320,example,6.09375,0.417969,0.0,0.0,0.0,0.0,True,False,4.970383038390045e-05,1.9973,1.9973,,,
1321,example,0.402344,1.609375,0.0,0.0,0.0,0.0,True,False,4.9703382380096555e-05,2.0066,2.0066,,,
1322,example,14.125,1.875,0.0,0.0,0.0,0.0,True,False,4.970293403977369e-05,2.0157,2.0157,,,
1323,example,2.78125,0.337891,0.0,0.0,0.0,0.0,True,False,4.970248536293807e-05,2.0243,2.0243,,,
1324,example,0.225586,0.148438,0.0,0.0,0.0,0.0,True,False,4.970203634959596e-05,2.0324,2.0324,,,
1325,example,0.402344,1.609375,0.0,0.0,0.0,0.0,True,False,4.970158699975359e-05,2.0412,2.0412,,,
1326,example,0.417969,1.671875,0.0,0.0,0.0,0.0,True,False,4.9701137313417205e-05,2.0503,2.0503,,,
1327,group,1.84375,1.84375,0.0,0.0,0.0,0.0,True,False,4.9700687290593065e-05,2.1623,2.1623,4,1.0,0.0
1328,example,5.375,0.4375,0.0,0.0,0.0,0.0,True,False,4.970023693128742e-05,2.1814,2.1814,,,
1329,example,7.28125,0.462891,0.0,0.0,0.0,0.0,True,False,4.969978623550653e-05,2.1926,2.1926,,,
1330,example,0.091797,0.367188,0.0,0.0,0.0,0.0,True,False,4.969933520325666e-05,2.2073,2.2073,,,
1331,example,0.957031,0.213867,0.0,0.0,0.0,0.0,True,False,4.9698883834544097e-05,2.2166,2.2166,,,
1332,example,1.890625,0.980469,0.0,0.0,0.0,0.0,True,False,4.96984321293751e-05,2.2375,2.2375,,,
1333,example,0.400391,1.601562,0.0,0.0,0.0,0.0,True,False,4.969798008775595e-05,2.2518,2.2518,,,
1334,example,16.5,2.296875,0.0,0.0,0.0,0.0,True,False,4.969752770969295e-05,2.261,2.261,,,
1335,example,7.53125,0.597656,0.0,0.0,0.0,0.0,True,False,4.969707499519237e-05,2.2722,2.2722,,,
1336,example,3.9375,0.34375,0.0,0.0,0.0,0.0,True,False,4.969662194426051e-05,2.2813,2.2813,,,
1337,example,5.71875,0.384766,0.0,0.0,0.0,0.0,True,False,4.969616855690368e-05,2.2899,2.2899,,,
1338,example,3.6875,0.226562,0.0,0.0,0.0,0.0,True,False,4.969571483312816e-05,2.2985,2.2985,,,
1339,example,8.5,0.949219,0.0,0.0,0.0,0.0,True,False,4.969526077294029e-05,2.3066,2.3066,,,
1340,example,0.333984,0.143555,0.0,0.0,0.0,0.0,True,False,4.9694806376346354e-05,2.3154,2.3154,,,
1341,example,0.310547,1.242188,0.0,0.0,0.0,0.0,True,False,4.969435164335269e-05,2.3347,2.3347,,,
1342,example,3.875,1.898438,0.0,0.0,0.0,0.0,True,False,4.969389657396561e-05,2.3443,2.3443,,,
1343,group,3.25,3.25,0.0,0.0,0.0,0.0,True,False,4.969344116819144e-05,2.4683,2.4683,4,1.0,0.0
1344,example,7.75,1.171875,0.0,0.0,0.0,0.0,True,False,4.9692985426036524e-05,2.4864,2.4864,,,
1345,group,5.15625,5.15625,0.0,0.0,0.0,0.0,True,False,4.969252934750718e-05,2.5524,2.5524,4,1.0,0.0
1346,example,0.308594,1.234375,0.0,0.0,0.0,0.0,True,False,4.969207293260977e-05,2.5701,2.5701,,,
1347,example,2.25,0.265625,0.0,0.0,0.0,0.0,True,False,4.9691616181350615e-05,2.5785,2.5785,,,
1348,example,2.140625,0.333984,0.0,0.0,0.0,0.0,True,False,4.969115909373609e-05,2.5874,2.5874,,,
1349,group,5.34375,5.34375,0.0,0.0,0.0,0.0,True,False,4.969070166977254e-05,2.6541,2.6541,4,1.0,0.0
1350,example,18.375,2.40625,0.0,0.0,0.0,0.0,True,False,4.969024390946632e-05,2.6725,2.6725,,,
1351,example,0.161133,0.644531,0.0,0.0,0.0,0.0,True,False,4.96897858128238e-05,2.6816,2.6816,,,
1352,group,6.78125,6.78125,0.0,0.0,0.0,0.0,True,False,4.968932737985135e-05,2.8183,2.8183,4,1.0,0.0
1353,example,7.25,3.203125,0.0,0.0,0.0,0.0,True,False,4.968886861055534e-05,2.8358,2.8358,,,
1354,example,0.730469,0.359375,0.0,0.0,0.0,0.0,True,False,4.968840950494215e-05,2.8443,2.8443,,,
1355,group,4.4375,4.4375,0.0,0.0,0.0,0.0,True,False,4.968795006301817e-05,2.9654,2.9654,4,1.0,0.0
1356,example,1.867188,0.625,0.0,0.0,0.0,0.0,True,False,4.9687490284789784e-05,2.9831,2.9831,,,
1357,group,2.765625,2.765625,0.0,0.0,0.0,0.0,True,False,4.968703017026338e-05,3.1027,3.1027,4,1.0,0.0
1358,example,0.484375,0.173828,0.0,0.0,0.0,0.0,True,False,4.9686569719445365e-05,3.1205,3.1205,,,
1359,example,6.59375,0.949219,0.0,0.0,0.0,0.0,True,False,4.9686108932342135e-05,3.1299,3.1299,,,
1360,example,0.466797,1.84375,0.0,0.0,0.0,0.0,True,False,4.968564780896009e-05,3.1403,3.1403,,,
1361,group,13.375,13.375,0.0,0.0,0.0,0.0,True,False,4.968518634930565e-05,3.2147,3.2147,4,1.0,0.0
1362,group,1.671875,1.671875,0.0,0.0,0.0,0.0,True,False,4.968472455338523e-05,3.2936,3.2936,4,1.0,0.0
1363,example,0.40625,1.625,0.0,0.0,0.0,0.0,True,False,4.968426242120525e-05,3.3241,3.3241,,,
1364,example,0.484375,1.9375,0.0,0.0,0.0,0.0,True,False,4.968379995277213e-05,3.334,3.334,,,
1365,group,6.71875,6.71875,0.0,0.0,0.0,0.0,True,False,4.968333714809231e-05,3.4156,3.4156,4,1.0,0.0
1366,example,0.462891,1.851562,0.0,0.0,0.0,0.0,True,False,4.9682874007172215e-05,3.4344,3.4344,,,
1367,example,7.96875,0.511719,0.0,0.0,0.0,0.0,True,False,4.9682410530018295e-05,3.4454,3.4454,,,
1368,example,3.28125,0.5,0.0,0.0,0.0,0.0,True,False,4.9681946716636984e-05,3.456,3.456,,,
1369,example,1.59375,0.691406,0.0,0.0,0.0,0.0,True,False,4.968148256703474e-05,3.4813,3.4813,,,
1370,example,1.742188,0.980469,0.0,0.0,0.0,0.0,True,False,4.9681018081218015e-05,3.5111,3.5111,,,
1371,example,0.398438,1.59375,0.0,0.0,0.0,0.0,True,False,4.968055325919326e-05,3.545,3.545,,,
1372,example,1.640625,0.263672,0.0,0.0,0.0,0.0,True,False,4.968008810096694e-05,3.553,3.553,,,
1373,example,1.070312,0.855469,0.0,0.0,0.0,0.0,True,False,4.9679622606545526e-05,3.5614,3.5614,,,
1374,group,16.875,16.875,0.0,0.0,0.0,0.0,True,False,4.9679156775935485e-05,3.6675,3.6675,4,1.0,0.0
1375,example,22.0,1.3125,0.0,0.0,0.0,0.0,True,False,4.96786906091433e-05,3.6847,3.6847,,,
1376,example,0.890625,0.357422,0.0,0.0,0.0,0.0,True,False,4.9678224106175445e-05,3.6948,3.6948,,,
1377,example,1.023438,0.304688,0.0,0.0,0.0,0.0,True,False,4.9677757267038415e-05,3.7047,3.7047,,,
1378,example,1.195312,0.644531,0.0,0.0,0.0,0.0,True,False,4.967729009173869e-05,3.7138,3.7138,,,
1379,group,2.265625,2.265625,0.0,0.0,0.0,0.0,True,False,4.9676822580282775e-05,3.826,3.826,4,1.0,0.0
1380,example,15.25,1.453125,0.0,0.0,0.0,0.0,True,False,4.9676354732677176e-05,3.8438,3.8438,,,
1381,example,1.890625,0.341797,0.0,0.0,0.0,0.0,True,False,4.967588654892838e-05,3.8538,3.8538,,,
1382,example,3.4375,0.478516,0.0,0.0,0.0,0.0,True,False,4.967541802904291e-05,3.8637,3.8637,,,
1383,example,0.498047,1.992188,0.0,0.0,0.0,0.0,True,False,4.967494917302728e-05,3.8726,3.8726,,,
1384,example,3.0,0.178711,0.0,0.0,0.0,0.0,True,False,4.9674479980887995e-05,3.8827,3.8827,,,
1385,example,0.789062,0.308594,0.0,0.0,0.0,0.0,True,False,4.967401045263159e-05,3.8918,3.8918,,,
1386,example,12.0,1.664062,0.0,0.0,0.0,0.0,True,False,4.96735405882646e-05,3.9016,3.9016,,,
1387,group,4.25,4.25,0.0,0.0,0.0,0.0,True,False,4.9673070387793545e-05,4.0168,4.0168,4,1.0,0.0
1388,group,1.304688,1.304688,0.0,0.0,0.0,0.0,True,False,4.967259985122496e-05,4.1604,4.1604,4,1.0,0.0
1389,example,1.484375,1.210938,0.0,0.0,0.0,0.0,True,False,4.96721289785654e-05,4.1774,4.1774,,,
1390,example,19.75,2.78125,0.0,0.0,0.0,0.0,True,False,4.9671657769821405e-05,4.1883,4.1883,,,
1391,example,0.396484,1.585938,0.0,0.0,0.0,0.0,True,False,4.9671186224999525e-05,4.1964,4.1964,,,
1392,example,0.326172,1.304688,0.0,0.0,0.0,0.0,True,False,4.9670714344106325e-05,4.2271,4.2271,,,
1393,example,4.78125,0.667969,0.0,0.0,0.0,0.0,True,False,4.967024212714835e-05,4.2381,4.2381,,,
1394,example,0.283203,1.132812,0.0,0.0,0.0,0.0,True,False,4.966976957413219e-05,4.2599,4.2599,,,
1395,example,0.585938,2.34375,0.0,0.0,0.0,0.0,True,False,4.966929668506439e-05,4.2688,4.2688,,,
1396,example,0.122559,0.078125,0.0,0.0,0.0,0.0,True,False,4.966882345995153e-05,4.2774,4.2774,,,
1397,example,6.0,1.09375,0.0,0.0,0.0,0.0,True,False,4.966834989880021e-05,4.2893,4.2893,,,
1398,example,2.125,0.582031,0.0,0.0,0.0,0.0,True,False,4.966787600161699e-05,4.2977,4.2977,,,
1399,group,4.375,4.375,0.0,0.0,0.0,0.0,True,False,4.966740176840847e-05,4.4073,4.4073,4,1.0,0.0
1400,example,0.625,0.53125,0.0,0.0,0.0,0.0,True,False,4.966692719918124e-05,4.4242,4.4242,,,
1401,example,5.25,1.414062,0.0,0.0,0.0,0.0,True,False,4.9666452293941905e-05,4.4334,4.4334,,,
1402,example,1.140625,0.328125,0.0,0.0,0.0,0.0,True,False,4.9665977052697056e-05,4.4423,4.4423,,,
1403,example,9.1875,1.507812,0.0,0.0,0.0,0.0,True,False,4.966550147545332e-05,4.4579,4.4579,,,
1404,example,0.640625,0.472656,0.0,0.0,0.0,0.0,True,False,4.966502556221729e-05,4.4666,4.4666,,,
1405,example,2.890625,0.357422,0.0,0.0,0.0,0.0,True,False,4.9664549312995594e-05,4.4766,4.4766,,,
1406,example,0.515625,0.390625,0.0,0.0,0.0,0.0,True,False,4.966407272779485e-05,4.4871,4.4871,,,
1407,example,7.46875,0.976562,0.0,0.0,0.0,0.0,True,False,4.9663595806621686e-05,4.4963,4.4963,,,
1408,group,6.125,6.125,0.0,0.0,0.0,0.0,True,False,4.966311854948273e-05,4.6033,4.6033,4,1.0,0.0
1409,group,6.03125,6.03125,0.0,0.0,0.0,0.0,True,False,4.966264095638461e-05,4.7364,4.7364,4,1.0,0.0
1410,example,1.96875,0.75,0.0,0.0,0.0,0.0,True,False,4.966216302733399e-05,4.7539,4.7539,,,
1411,example,22.625,1.476562,0.0,0.0,0.0,0.0,True,False,4.966168476233749e-05,4.7626,4.7626,,,
1412,example,7.625,0.550781,0.0,0.0,0.0,0.0,True,False,4.966120616140177e-05,4.7714,4.7714,,,
1413,example,7.34375,0.8125,0.0,0.0,0.0,0.0,True,False,4.966072722453349e-05,4.7806,4.7806,,,
1414,example,0.773438,0.625,0.0,0.0,0.0,0.0,True,False,4.96602479517393e-05,4.789,4.789,,,
1415,example,2.5,0.145508,0.0,0.0,0.0,0.0,True,False,4.9659768343025874e-05,4.7975,4.7975,,,
1416,example,2.234375,0.28125,0.0,0.0,0.0,0.0,True,False,4.965928839839987e-05,4.8064,4.8064,,,
1417,example,7.125,0.535156,0.0,0.0,0.0,0.0,True,False,4.965880811786796e-05,4.8137,4.8137,,,
1418,example,0.25,1.0,0.0,0.0,0.0,0.0,True,False,4.965832750143683e-05,4.8224,4.8224,,,
1419,example,1.125,0.132812,0.0,0.0,0.0,0.0,True,False,4.965784654911317e-05,4.8314,4.8314,,,
1420,example,1.5625,0.201172,0.0,0.0,0.0,0.0,True,False,4.965736526090364e-05,4.8398,4.8398,,,
1421,example,2.078125,1.398438,0.0,0.0,0.0,0.0,True,False,4.965688363681496e-05,4.8491,4.8491,,,
1422,example,16.75,2.40625,0.0,0.0,0.0,0.0,True,False,4.965640167685381e-05,4.8575,4.8575,,,
1423,example,0.067383,0.019287,0.0,0.0,0.0,0.0,True,False,4.965591938102689e-05,4.8658,4.8658,,,
1424,group,2.265625,2.265625,0.0,0.0,0.0,0.0,True,False,4.9655436749340915e-05,4.9843,4.9843,4,1.0,0.0
1425,example,1.171875,0.84375,0.0,0.0,0.0,0.0,True,False,4.965495378180259e-05,5.0021,5.0021,,,
1426,example,2.546875,0.134766,0.0,0.0,0.0,0.0,True,False,4.965447047841864e-05,5.0132,5.0132,,,
1427,example,0.279297,1.117188,0.0,0.0,0.0,0.0,True,False,4.965398683919577e-05,5.0449,5.0449,,,
1428,example,19.625,1.09375,0.0,0.0,0.0,0.0,True,False,4.965350286414071e-05,5.0541,5.0541,,,
1429,example,2.359375,0.287109,0.0,0.0,0.0,0.0,True,False,4.9653018553260186e-05,5.0624,5.0624,,,
1430,example,3.765625,2.546875,0.0,0.0,0.0,0.0,True,False,4.965253390656094e-05,5.0767,5.0767,,,
1431,example,0.632812,0.279297,0.0,0.0,0.0,0.0,True,False,4.9652048924049706e-05,5.1044,5.1044,,,
1432,example,1.148438,0.667969,0.0,0.0,0.0,0.0,True,False,4.965156360573322e-05,5.1125,5.1125,,,
1433,example,0.269531,1.078125,0.0,0.0,0.0,0.0,True,False,4.965107795161825e-05,5.1208,5.1208,,,
1434,group,6.53125,6.53125,0.0,0.0,0.0,0.0,True,False,4.9650591961711516e-05,5.2361,5.2361,4,1.0,0.0
1435,example,13.625,1.21875,0.0,0.0,0.0,0.0,True,False,4.96501056360198e-05,5.2528,5.2528,,,
1436,example,0.142578,0.570312,0.0,0.0,0.0,0.0,True,False,4.964961897454987e-05,5.2619,5.2619,,,
1437,example,1.023438,0.359375,0.0,0.0,0.0,0.0,True,False,4.964913197730847e-05,5.2707,5.2707,,,
1438,example,7.0,1.234375,0.0,0.0,0.0,0.0,True,False,4.964864464430238e-05,5.2785,5.2785,,,
1439,example,4.90625,0.384766,0.0,0.0,0.0,0.0,True,False,4.9648156975538386e-05,5.2869,5.2869,,,
1440,example,0.333984,1.335938,0.0,0.0,0.0,0.0,True,False,4.964766897102326e-05,5.2952,5.2952,,,
1441,example,1.59375,0.146484,0.0,0.0,0.0,0.0,True,False,4.9647180630763786e-05,5.304,5.304,,,
1442,example,14.75,1.226562,0.0,0.0,0.0,0.0,True,False,4.964669195476675e-05,5.3129,5.3129,,,
1443,example,1.039062,0.181641,0.0,0.0,0.0,0.0,True,False,4.964620294303896e-05,5.321,5.321,,,
1444,group,5.6875,5.6875,0.0,0.0,0.0,0.0,True,False,4.96457135955872e-05,5.4436,5.4436,4,1.0,0.0
1445,example,10.875,0.476562,0.0,0.0,0.0,0.0,True,False,4.964522391241829e-05,5.4618,5.4618,,,
1446,example,0.243164,0.031982,0.0,0.0,0.0,0.0,True,False,4.964473389353901e-05,5.4707,5.4707,,,
1447,example,2.25,0.648438,0.0,0.0,0.0,0.0,True,False,4.964424353895621e-05,5.4804,5.4804,,,
1448,example,10.4375,0.820312,0.0,0.0,0.0,0.0,True,False,4.9643752848676675e-05,5.4925,5.4925,,,
1449,example,9.0,0.816406,0.0,0.0,0.0,0.0,True,False,4.964326182270725e-05,5.5308,5.5308,,,
1450,example,0.333984,1.335938,0.0,0.0,0.0,0.0,True,False,4.964277046105476e-05,5.5551,5.5551,,,
1451,example,0.369141,1.476562,0.0,0.0,0.0,0.0,True,False,4.964227876372603e-05,5.5649,5.5649,,,
1452,example,4.84375,0.636719,0.0,0.0,0.0,0.0,True,False,4.964178673072789e-05,5.5736,5.5736,,,
1453,example,0.804688,0.058838,0.0,0.0,0.0,0.0,True,False,4.964129436206719e-05,5.5809,5.5809,,,
1454,group,2.765625,2.765625,0.0,0.0,0.0,0.0,True,False,4.964080165775078e-05,5.6941,5.6941,4,1.0,0.0
1455,example,0.466797,1.867188,0.0,0.0,0.0,0.0,True,False,4.96403086177855e-05,5.7292,5.7292,,,
1456,group,1.328125,1.328125,0.0,0.0,0.0,0.0,True,False,4.963981524217821e-05,5.8445,5.8445,4,1.0,0.0
1457,group,8.125,8.125,0.0,0.0,0.0,0.0,True,False,4.963932153093577e-05,5.9803,5.9803,4,1.0,0.0
1458,group,5.03125,5.03125,0.0,0.0,0.0,0.0,True,False,4.963882748406504e-05,6.1122,6.1122,4,1.0,0.0
1459,example,10.25,1.539062,0.0,0.0,0.0,0.0,True,False,4.96383331015729e-05,6.1301,6.1301,,,
1460,example,11.875,1.335938,0.0,0.0,0.0,0.0,True,False,4.963783838346621e-05,6.1393,6.1393,,,
1461,group,10.125,10.125,0.0,0.0,0.0,0.0,True,False,4.963734332975186e-05,6.2612,6.2612,4,1.0,0.0
1462,group,1.695312,1.695312,0.0,0.0,0.0,0.0,True,False,4.963684794043673e-05,6.3895,6.3895,4,1.0,0.0
1463,example,4.5,0.359375,0.0,0.0,0.0,0.0,True,False,4.96363522155277e-05,6.4084,6.4084,,,
1464,example,0.351562,1.40625,0.0,0.0,0.0,0.0,True,False,4.9635856155031685e-05,6.4183,6.4183,,,
1465,example,0.425781,0.155273,0.0,0.0,0.0,0.0,True,False,4.963535975895556e-05,6.4265,6.4265,,,
1466,example,0.324219,1.296875,0.0,0.0,0.0,0.0,True,False,4.963486302730623e-05,6.4344,6.4344,,,
1467,example,2.0625,0.291016,0.0,0.0,0.0,0.0,True,False,4.963436596009059e-05,6.443,6.443,,,
1468,example,0.257812,0.101562,0.0,0.0,0.0,0.0,True,False,4.9633868557315585e-05,6.4516,6.4516,,,
1469,group,15.0625,15.0625,0.0,0.0,0.0,0.0,True,False,4.96333708189881e-05,6.5113,6.5113,4,1.0,0.0
1470,group,2.75,2.75,0.0,0.0,0.0,0.0,True,False,4.963287274511507e-05,6.5812,6.5812,4,1.0,0.0
1471,group,2.21875,2.21875,0.0,0.0,0.0,0.0,True,False,4.963237433570342e-05,6.7042,6.7042,4,1.0,0.0
1472,example,0.339844,1.359375,0.0,0.0,0.0,0.0,True,False,4.963187559076007e-05,6.7228,6.7228,,,
1473,group,5.46875,5.46875,0.0,0.0,0.0,0.0,True,False,4.9631376510291965e-05,6.8615,6.8615,4,1.0,0.0
1474,example,6.1875,1.734375,0.0,0.0,0.0,0.0,True,False,4.963087709430604e-05,6.8832,6.8832,,,
1475,example,2.125,1.085938,0.0,0.0,0.0,0.0,True,False,4.963037734280924e-05,6.9207,6.9207,,,
1476,example,1.5,0.314453,0.0,0.0,0.0,0.0,True,False,4.962987725580852e-05,6.9426,6.9426,,,
1477,example,0.351562,1.40625,0.0,0.0,0.0,0.0,True,False,4.962937683331081e-05,6.9921,6.9921,,,
1478,group,8.125,8.125,0.0,0.0,0.0,0.0,True,False,4.962887607532309e-05,7.0682,7.0682,4,1.0,0.0
1479,example,4.375,0.345703,0.0,0.0,0.0,0.0,True,False,4.962837498185232e-05,7.1089,7.1089,,,
1480,group,5.46875,5.46875,0.0,0.0,0.0,0.0,True,False,4.962787355290546e-05,7.1846,7.1846,4,1.0,0.0
